"pkg_name", "pkg_version", "pkg_source", "pkg_org", "pkg_repo", "pkg_branch", "pkg_hash", "pkg_check", "pkg_covr", "pkg_test"
"MASS", "7.3-51.5", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"foreign", "0.8-76", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"lattice", "0.20-40", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"Matrix", "1.2-18", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"nlme", "3.1-145", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"nnet", "7.3-13", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"survival", "3.1-11", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"abind", "1.4-5", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"carData", "3.0-3", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"mgcv", "1.8-31", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"boot", "1.3-24", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"Rcpp", "1.0.3", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"minqa", "1.2.4", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"nloptr", "1.2.2", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"statmod", "1.4.34", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"RcppEigen", "0.3.3.7.0", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"lme4", "1.1-21", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"magrittr", "1.5", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"pbkrtest", "0.4-8.6", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"SparseM", "1.78", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"MatrixModels", "0.4-1", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"quantreg", "5.54", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"sp", "1.4-1", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"maptools", "0.9-9", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"rlang", "0.4.5", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"ellipsis", "0.3.0", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"magrittr", "1.5", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"assertthat", "0.2.1", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"crayon", "1.3.4", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"fansi", "0.4.1", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"glue", "1.3.1", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"cli", "2.0.2", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"lifecycle", "0.2.0", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"utf8", "1.1.4", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"digest", "0.6.25", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"vctrs", "0.2.3", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"pillar", "1.4.3", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"pkgconfig", "2.0.3", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"tibble", "2.1.3", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"forcats", "0.5.0", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"hms", "0.5.3", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"R6", "2.4.1", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"clipr", "0.7.0", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"BH", "1.72.0-3", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"readr", "1.3.1", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"purrr", "0.3.3", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"tidyselect", "1.0.0", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"haven", "2.2.0", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"curl", "4.3", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"data.table", "1.12.8", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"rematch", "1.0.1", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"cellranger", "1.1.0", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"prettyunits", "1.1.1", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"progress", "1.2.2", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"readxl", "1.3.1", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"zip", "2.0.4", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"stringi", "1.4.6", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"openxlsx", "4.1.4", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"rio", "0.5.16", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"car", "3.0-6", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"memoise", "1.1.0", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"plogr", "0.2.0", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"xtable", "1.8-4", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"jsonlite", "1.6.1", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"sys", "3.3", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"askpass", "1.1", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
"backports", "1.1.5", "cran", "", "", "", "", "FALSE", "FALSE", "FALSE"
